start_time,stop_time
2020-06-01 00:30:52.3270,2020-06-01 00:57:41.7700
2020-06-01 00:31:05.7880,2020-06-01 00:45:19.4940
2020-06-01 00:31:18.4450,2020-06-01 00:37:27.5550
2020-06-01 00:31:24.8640,2020-06-01 00:38:41.5470
2020-06-01 00:31:24.9880,2020-06-01 00:46:53.2140
2020-06-01 00:31:28.2560,2020-06-01 00:49:54.9550
2020-06-01 00:31:30.2180,2020-06-01 01:05:19.9340
2020-06-01 00:31:31.7280,2020-06-01 00:38:45.3870
2020-06-01 00:31:33.8650,2020-06-01 00:34:33.2620
2020-06-01 00:31:34.8130,2020-06-01 01:05:19.8480
2020-06-01 00:31:39.1100,2020-06-01 00:41:56.4540
2020-06-01 00:31:43.1440,2020-06-01 00:50:11.8000
2020-06-01 00:31:45.6080,2020-06-01 00:40:14.4140
2020-06-01 00:31:55.8940,2020-06-01 00:36:13.2550
2020-06-01 00:32:03.3270,2020-06-01 01:52:16.5660
2020-06-01 00:32:03.4960,2020-06-01 00:38:58.4590
2020-06-01 00:32:06.7280,2020-06-01 00:42:36.9360
2020-06-01 00:32:13.0840,2020-06-01 00:46:38.0360
2020-06-01 00:32:23.1610,2020-06-01 00:46:37.9510
2020-06-01 00:32:27.0050,2020-06-01 01:11:13.2320
2020-06-01 00:32:32.2990,2020-06-01 00:41:17.4520
2020-06-01 00:32:47.5690,2020-06-01 00:57:49.4370
2020-06-01 00:33:00.8800,2020-06-01 01:25:29.6750
2020-06-01 00:33:02.1040,2020-06-01 00:40:09.4840
2020-06-01 00:33:04.9950,2020-06-01 02:03:09.9170
2020-06-01 00:33:19.6510,2020-06-01 00:50:19.6240
2020-06-01 00:33:26.8250,2020-06-01 00:58:11.2170
2020-06-01 00:33:51.0110,2020-06-01 00:43:49.8500
2020-06-01 00:34:01.2990,2020-06-01 01:25:03.2080
2020-06-01 00:34:05.3970,2020-06-01 00:50:34.4280
2020-06-01 00:34:06.8380,2020-06-01 00:43:05.9120
2020-06-01 00:34:07.7410,2020-06-01 02:48:35.8780
2020-06-01 00:34:07.8890,2020-06-01 00:37:01.6330
2020-06-01 00:34:10.6790,2020-06-01 01:28:40.3280
2020-06-01 00:34:14.8220,2020-06-01 00:38:15.6230
2020-06-01 00:34:15.5140,2020-06-01 01:25:39.2590
2020-06-01 00:34:23.6980,2020-06-01 00:41:15.9890
2020-06-01 00:34:38.7000,2020-06-01 01:20:53.6190
2020-06-01 00:34:39.0910,2020-06-01 00:36:36.6780
2020-06-01 00:34:46.0810,2020-06-01 00:45:07.8010
2020-06-01 00:34:51.4130,2020-06-01 01:24:42.5680
2020-06-01 00:35:13.0520,2020-06-01 01:03:37.4180
2020-06-01 00:35:31.0600,2020-06-01 00:49:53.7400
2020-06-01 00:35:37.7170,2020-06-01 00:50:14.7270
2020-06-01 00:35:39.4550,2020-06-01 02:48:34.5400
2020-06-01 00:35:48.8650,2020-06-01 01:12:28.1970
2020-06-01 00:35:49.9740,2020-06-01 00:56:51.5320
2020-06-01 00:35:50.5950,2020-06-01 00:42:19.8770
2020-06-01 00:35:52.0320,2020-06-01 00:50:23.2880
2020-06-01 00:35:59.0670,2020-06-01 00:39:13.6220
2020-06-01 00:36:13.0490,2020-06-01 00:55:53.3930
2020-06-01 00:36:27.3450,2020-06-01 00:42:41.2720
2020-06-01 00:36:27.6280,2020-06-01 00:44:40.6840
2020-06-01 00:36:27.6510,2020-06-01 01:52:44.9130
2020-06-01 00:36:34.6530,2020-06-01 00:54:16.7380
2020-06-01 00:36:34.9240,2020-06-01 01:52:26.1720
2020-06-01 00:36:42.3270,2020-06-01 01:07:28.7850
2020-06-01 00:36:46.3480,2020-06-01 00:55:05.2870
2020-06-01 00:36:54.3420,2020-06-01 01:05:35.0350
2020-06-01 00:37:00.3780,2020-06-01 12:38:07.6130
2020-06-01 00:37:08.4340,2020-06-01 12:35:13.0640
2020-06-01 00:37:09.2990,2020-06-01 00:42:13.2430
2020-06-01 00:37:14.6690,2020-06-01 12:36:10.8580
